timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
6301852,6301852,0,0,0,0,0,0,0,0,0,0,0
7306775,7306775,0,0,0,0,0,0,0,0,0,0,0
8210700,8210700,0,0,0,0,0,0,0,0,0,0,0
9215890,9215890,0,0,0,0,0,0,0,0,0,0,0
10221774,10221774,0,0,0,0,0,0,0,0,0,0,0
11235761,11235761,0,0,0,0,0,0,0,0,0,0,0
13448752,13448752,0,0,0,0,0,0,0,0,0,0,0
14212691,14212691,0,0,0,0,0,0,0,0,0,0,0
15217691,15217691,0,0,0,0,0,0,0,0,0,0,0
16206772,16206772,0,0,0,0,0,0,0,0,0,0,0
17233083,17233083,0,0,0,0,0,0,0,0,0,0,0
18232705,18232705,0,0,0,0,0,0,0,0,0,0,0
19217721,19217721,0,0,0,0,0,0,0,0,0,0,0
20268771,20268771,0,0,0,0,0,0,0,0,0,0,0
21208721,21208721,0,0,0,0,0,0,0,0,0,0,0
22212886,22212886,0,0,0,0,0,0,0,0,0,0,0
23206813,23206813,0,0,0,0,0,0,0,0,0,0,0
24219823,24219823,0,0,0,0,0,0,0,0,0,0,0
25239962,25239962,0,0,0,0,0,0,0,0,0,0,0
26214803,26214803,0,0,0,0,0,0,0,0,0,0,0
27213699,27213699,0,0,0,0,0,0,0,0,0,0,0
28211763,28211763,0,0,0,0,0,0,0,0,0,0,0
29206714,29206714,0,0,0,0,0,0,0,0,0,0,0
30210690,30210690,0,0,0,0,0,0,0,0,0,0,0
31268689,31268689,0,0,0,0,0,0,0,0,0,0,0
32244147,32244147,0,0,0,0,0,0,0,0,0,0,0
33211755,33211755,0,0,0,0,0,0,0,0,0,0,0
34255759,34255759,0,0,0,0,0,0,0,0,0,0,0
35211764,35211764,0,0,0,0,0,0,0,0,0,0,0
36205720,36205720,0,0,0,0,0,0,0,0,0,0,0
37212699,37212699,0,0,0,0,0,0,0,0,0,0,0
38216765,38216765,0,0,0,0,0,0,0,0,0,0,0
39210699,39210699,0,0,0,0,0,0,0,0,0,0,0
40210692,40210692,0,0,0,0,0,0,0,0,0,0,0
41211730,41211730,0,0,0,0,0,0,0,0,0,0,0
42217749,42217749,0,0,0,0,0,0,0,0,0,0,0
43208722,43208722,0,0,0,0,0,0,0,0,0,0,0
44213699,44213699,0,0,0,0,0,0,0,0,0,0,0
45323835,45323835,0,0,0,0,0,0,0,0,0,0,0
46642751,46642751,0,0,0,0,0,0,0,0,0,0,0
47523802,47523802,0,0,0,0,0,0,0,0,0,0,0
48211721,48211721,0,0,0,0,0,0,0,0,0,0,0
49418768,49418768,0,0,0,0,0,0,0,0,0,0,0
50265125,50265125,0,0,0,0,0,0,0,0,0,0,0
51342699,51342699,0,0,0,0,0,0,0,0,0,0,0
52218777,52218777,0,0,0,0,0,0,0,0,0,0,0
53207747,53207747,0,0,0,0,0,0,0,0,0,0,0
54216699,54216699,0,0,0,0,0,0,0,0,0,0,0
55214911,55214911,0,0,0,0,0,0,0,0,0,0,0
56213693,56213693,0,0,0,0,0,0,0,0,0,0,0
57207740,57207740,0,0,0,0,0,0,0,0,0,0,0
58211882,58211882,0,0,0,0,0,0,0,0,0,0,0
59220700,59220700,0,0,0,0,0,0,0,0,0,0,0
60213699,60213699,0,0,0,0,0,0,0,0,0,0,0
61208700,61208700,0,0,0,0,0,0,0,0,0,0,0
62205361,62205361,0,0,0,0,0,0,0,0,0,0,0
63215722,63215722,0,0,0,0,0,0,0,0,0,0,0
64216061,64216061,0,0,0,0,0,0,0,0,0,0,0
65212738,65212738,0,0,0,0,0,0,0,0,0,0,0
66206730,66206730,0,0,0,0,0,0,0,0,0,0,0
67216661,67216661,0,0,0,0,0,0,0,0,0,0,0
68211707,68211707,0,0,0,0,0,0,0,0,0,0,0
69408692,69408692,0,0,0,0,0,0,0,0,0,0,0
70205720,70205720,0,0,0,0,0,0,0,0,0,0,0
71214790,71214790,0,0,0,0,0,0,0,0,0,0,0
72209698,72209698,0,0,0,0,0,0,0,0,0,0,0
73209688,73209688,0,0,0,0,0,0,0,0,0,0,0
74211733,74211733,0,0,0,0,0,0,0,0,0,0,0
75212705,75212705,0,0,0,0,0,0,0,0,0,0,0
76215074,76215074,0,0,0,0,0,0,0,0,0,0,0
77213700,77213700,0,0,0,0,0,0,0,0,0,0,0
78214705,78214705,0,0,0,0,0,0,0,0,0,0,0
79205848,79205848,0,0,0,0,0,0,0,0,0,0,0
80222745,80222745,0,0,0,0,0,0,0,0,0,0,0
81322698,81322698,0,0,0,0,0,0,0,0,0,0,0
82324967,82324967,0,0,0,0,0,0,0,0,0,0,0
83245723,83245723,0,0,0,0,0,0,0,0,0,0,0
84222746,84222746,0,0,0,0,0,0,0,0,0,0,0
85327966,85327966,0,0,0,0,0,0,0,0,0,0,0
86210376,86210376,0,0,0,0,0,0,0,0,0,0,0
87222819,87222819,0,0,0,0,0,0,0,0,0,0,0
88325694,88325694,0,0,0,0,0,0,0,0,0,0,0
89247906,89247906,0,0,0,0,0,0,0,0,0,0,0
90327720,90327720,0,0,0,0,0,0,0,0,0,0,0
91235715,91235715,0,0,0,0,0,0,0,0,0,0,0
92319752,92319752,0,0,0,0,0,0,0,0,0,0,0
93232765,93232765,0,0,0,0,0,0,0,0,0,0,0
94307909,94307909,0,0,0,0,0,0,0,0,0,0,0
95229689,95229689,0,0,0,0,0,0,0,0,0,0,0
96301167,96301167,0,0,0,0,0,0,0,0,0,0,0
97238690,97238690,0,0,0,0,0,0,0,0,0,0,0
98310224,98310224,0,0,0,0,0,0,0,0,0,0,0
99211294,99211294,0,0,0,0,0,0,0,0,0,0,0
100206720,100206720,0,0,0,0,0,0,0,0,0,0,0
101206720,101206720,0,0,0,0,0,0,0,0,0,0,0
102217194,102217194,0,0,0,0,0,0,0,0,0,0,0
103211727,103211727,0,0,0,0,0,0,0,0,0,0,0
104212753,104212753,0,0,0,0,0,0,0,0,0,0,0
105208712,105208712,0,0,0,0,0,0,0,0,0,0,0
106208006,106208006,0,0,0,0,0,0,0,0,0,0,0
107225107,107225107,0,0,0,0,0,0,0,0,0,0,0
108214926,108214926,0,0,0,0,0,0,0,0,0,0,0
109214967,109214967,0,0,0,0,0,0,0,0,0,0,0
110243402,110243402,0,0,0,0,0,0,0,0,0,0,0
111213696,111213696,0,0,0,0,0,0,0,0,0,0,0
112213693,112213693,0,0,0,0,0,0,0,0,0,0,0
113213065,113213065,0,0,0,0,0,0,0,0,0,0,0
114218690,114218690,0,0,0,0,0,0,0,0,0,0,0
115215380,115215380,0,0,0,0,0,0,0,0,0,0,0
116220690,116220690,0,0,0,0,0,0,0,0,0,0,0
117217685,117217685,0,0,0,0,0,0,0,0,0,0,0
118216729,118216729,0,0,0,0,0,0,0,0,0,0,0
119206711,119206711,0,0,0,0,0,0,0,0,0,0,0
120266477,120266477,0,0,0,0,0,0,0,0,0,0,0
121210697,121210697,0,0,0,0,0,0,0,0,0,0,0
122267715,122267715,0,0,0,0,0,0,0,0,0,0,0
123217702,123217702,0,0,0,0,0,0,0,0,0,0,0
124218692,124218692,0,0,0,0,0,0,0,0,0,0,0
125214304,125214304,0,0,0,0,0,0,0,0,0,0,0
126226692,126226692,0,0,0,0,0,0,0,0,0,0,0
127215722,127215722,0,0,0,0,0,0,0,0,0,0,0
128212745,128212745,0,0,0,0,0,0,0,0,0,0,0
129211926,129211926,0,0,0,0,0,0,0,0,0,0,0
130214796,130214796,0,0,0,0,0,0,0,0,0,0,0
131210764,131210764,0,0,0,0,0,0,0,0,0,0,0
132212707,132212707,0,0,0,0,0,0,0,0,0,0,0
133317938,133317938,0,0,0,0,0,0,0,0,0,0,0
134256704,134256704,0,0,0,0,0,0,0,0,0,0,0
135321892,135321892,0,0,0,0,0,0,0,0,0,0,0
136277767,136277767,0,0,0,0,0,0,0,0,0,0,0
137219835,137219835,0,0,0,0,0,0,0,0,0,0,0
138222353,138222353,0,0,0,0,0,0,0,0,0,0,0
139214818,139214818,0,0,0,0,0,0,0,0,0,0,0
140217692,140217692,0,0,0,0,0,0,0,0,0,0,0
141212737,141212737,0,0,0,0,0,0,0,0,0,0,0
142213696,142213696,0,0,0,0,0,0,0,0,0,0,0
143529966,143529966,0,0,0,0,0,0,0,0,0,0,0
145337690,145337690,0,0,0,0,0,0,0,0,0,0,0
145348681,145348681,0,0,0,0,0,0,0,0,0,0,0
146366806,146366806,0,0,0,0,0,0,0,0,0,0,0
148112556,148112556,0,0,0,0,0,0,0,0,0,0,0
148462717,148462717,0,0,0,0,0,0,0,0,0,0,0
152127846,152127846,0,0,0,0,0,0,0,0,0,0,0
152138823,152138823,0,0,0,0,0,0,0,0,0,0,0
